MONTH,AIRLINE,ORIGIN_AIRPORT,total_voos,total_atrasados,soma_delay
1,B6,PWM,82,16,610.0
1,B6,RDU,198,32,1559.0
1,B6,RIC,176,22,595.0
1,B6,ROC,87,10,119.0
1,B6,RSW,424,109,4934.0
1,B6,SAN,93,14,580.0
1,B6,SAV,85,17,830.0
1,B6,SEA,137,38,1867.0
1,B6,SFO,384,55,2700.0
1,B6,SJC,22,3,88.0
1,B6,SJU,962,237,10443.0
1,B6,SLC,141,34,1399.0
1,B6,SMF,75,13,512.0
1,B6,SRQ,88,27,1383.0
1,B6,STT,100,15,-90.0
1,B6,STX,31,7,409.0
1,B6,SWF,56,11,629.0
1,B6,SYR,120,27,1130.0
1,B6,TPA,505,133,7081.0
1,DL,ABE,23,1,44.0
1,DL,ABQ,67,7,565.0
1,DL,AGS,38,2,7.0
1,DL,ALB,59,9,698.0
1,DL,ANC,116,8,-203.0
1,DL,ATL,18452,2232,98177.0
1,DL,ATW,38,1,-54.0
1,DL,AUS,258,25,922.0
1,DL,AVL,61,5,225.0
1,DL,AVP,5,1,9.0
1,DL,BDL,274,41,2529.0
1,DL,BHM,242,27,1624.0
1,DL,BIL,68,1,-263.0
1,DL,BIS,30,1,-27.0
1,DL,BNA,344,36,1416.0
1,DL,BOI,87,2,-164.0
1,DL,BOS,1187,222,13336.0
1,DL,BTR,20,0,-37.0
1,DL,BUF,157,11,478.0
1,DL,BWI,513,42,2968.0
1,DL,BZN,74,10,502.0
1,DL,CAE,76,4,1172.0
1,DL,CAK,111,10,916.0
1,DL,CHA,95,6,128.0
1,DL,CHO,24,1,-47.0
1,DL,CHS,235,21,550.0
1,DL,CLE,181,6,-109.0
1,DL,CLT,516,50,2519.0
1,DL,CMH,240,29,1401.0
1,DL,COS,27,3,530.0
1,DL,CRW,27,2,72.0
1,DL,CVG,474,27,787.0
1,DL,DAB,120,9,55.0
1,DL,DAL,120,24,898.0
1,DL,DAY,126,8,58.0
1,DL,DCA,726,81,5430.0
1,DL,DEN,552,95,3974.0
1,DL,DFW,406,50,2707.0
1,DL,DLH,27,3,73.0
1,DL,DSM,77,5,442.0
1,DL,DTW,3853,599,31183.0
1,DL,ECP,142,16,1755.0
1,DL,EGE,32,6,353.0
1,DL,ELP,57,5,240.0
1,DL,EVV,27,0,-78.0
1,DL,EWR,386,47,4059.0
1,DL,EYW,107,5,667.0
1,DL,FAR,60,3,-33.0
1,DL,FAY,30,3,459.0
1,DL,FLL,996,97,3871.0
1,DL,FNT,88,9,345.0
1,DL,FSD,30,4,75.0
1,DL,GEG,109,10,1470.0
1,DL,GNV,30,2,214.0
1,DL,GPT,81,8,178.0
1,DL,GRB,1,0,1.0
1,DL,GRR,176,23,2257.0
1,DL,GSO,115,7,320.0
1,DL,GSP,140,14,832.0
1,DL,HDN,27,6,233.0
1,DL,HNL,262,29,1991.0
1,DL,HOU,190,14,46.0
1,DL,HSV,182,18,668.0
1,DL,IAD,184,17,1582.0
1,DL,IAH,224,29,809.0
1,DL,ICT,71,9,374.0
1,DL,ILM,27,1,51.0
1,DL,IND,384,42,2149.0
1,DL,JAC,52,13,1198.0
1,DL,JAN,165,11,194.0
1,DL,JAX,322,26,782.0
1,DL,JFK,1981,510,27964.0
1,DL,KOA,31,1,-75.0
1,DL,LAS,825,76,3366.0
1,DL,LAX,1792,214,7447.0
1,DL,LEX,60,6,450.0
1,DL,LFT,30,2,13.0
1,DL,LGA,2082,441,23096.0
1,DL,LIH,31,3,872.0
1,DL,LIT,158,7,-69.0
1,DL,MCI,306,21,718.0
1,DL,MCO,1358,145,7298.0
1,DL,MDT,76,10,1123.0
1,DL,MDW,217,28,2052.0
1,DL,MEM,331,24,422.0
1,DL,MHT,33,2,283.0
1,DL,MIA,734,119,8209.0
1,DL,MKE,365,38,1942.0
1,DL,MLB,118,8,510.0
1,DL,MOB,28,1,-26.0
1,DL,MSN,152,10,114.0
1,DL,MSO,38,4,23.0
1,DL,MSP,4151,564,24959.0
1,DL,MSY,563,64,3133.0
1,DL,MTJ,8,0,-27.0
1,DL,MYR,30,1,-14.0
1,DL,OAK,81,5,-120.0
1,DL,OGG,93,13,721.0
1,DL,OKC,117,5,-240.0
1,DL,OMA,163,7,636.0
1,DL,ONT,34,2,-67.0
1,DL,ORD,567,81,4999.0
1,DL,ORF,189,6,24.0
1,DL,PBI,505,65,3387.0
1,DL,PDX,338,29,225.0
1,DL,PHL,513,67,2992.0
1,DL,PHX,587,56,1968.0
