MONTH,AIRLINE,STATE,total_voos,total_atrasados
1,NK,CO,273,76
1,NK,FL,2154,502
1,NK,GA,246,61
1,NK,IL,761,245
1,NK,LA,153,30
1,NK,MA,118,26
1,NK,MD,155,15
1,NK,MI,692,213
1,NK,MN,340,120
1,NK,MO,131,37
1,NK,NJ,335,39
1,NK,NV,734,135
1,NK,NY,379,123
1,NK,OH,17,2
1,NK,OR,36,3
1,NK,PA,152,42
1,NK,PR,74,18
1,NK,SC,144,32
1,NK,TX,1073,213
1,NK,VI,31,12
1,OO,AL,35,6
1,OO,AR,88,20
1,OO,AZ,2460,320
1,OO,CA,14157,2759
1,OO,CO,4878,1528
1,OO,CT,7,2
1,OO,FL,10,4
1,OO,GA,300,90
1,OO,IA,309,90
1,OO,ID,878,183
1,OO,IL,3259,1089
1,OO,IN,395,96
1,OO,KS,232,69
1,OO,KY,385,64
1,OO,LA,36,5
1,OO,MA,28,6
1,OO,MD,1,1
1,OO,MI,1531,325
1,OO,MN,2295,374
1,OO,MO,342,85
1,OO,MT,734,86
1,OO,NC,127,23
1,OO,ND,772,175
1,OO,NE,311,61
1,OO,NM,269,40
1,OO,NV,575,110
1,OO,NY,34,12
1,OO,OH,176,48
1,OO,OK,265,49
1,OO,OR,1200,230
1,OO,PA,52,13
1,OO,SC,2,2
1,OO,SD,368,74
1,OO,TN,322,49
1,OO,TX,2372,549
1,OO,UT,4353,519
1,OO,VA,220,58
1,OO,WA,1313,307
1,OO,WI,1064,239
1,OO,WY,697,111
1,UA,AK,41,14
1,UA,AZ,542,99
1,UA,CA,7223,1412
1,UA,CO,3829,1284
1,UA,CT,69,16
1,UA,FL,2921,541
1,UA,GA,204,45
1,UA,GU,31,13
1,UA,HI,772,142
1,UA,IA,83,23
1,UA,ID,52,13
1,UA,IL,4251,1466
1,UA,IN,50,5
1,UA,KS,34,3
1,UA,LA,394,38
1,UA,MA,670,152
1,UA,MD,176,41
1,UA,MI,56,9
1,UA,MN,157,25
1,UA,MO,24,5
1,UA,MT,97,18
1,UA,NC,76,19
1,UA,NE,82,17
1,UA,NJ,3417,1032
1,UA,NV,1097,167
1,UA,NY,1124,226
1,UA,OH,714,86
1,UA,OK,25,0
1,UA,OR,376,63
1,UA,PA,449,84
1,UA,PR,188,78
1,UA,TX,5552,1316
1,UA,UT,135,32
1,UA,VA,1651,423
1,UA,VI,68,25
1,UA,WA,725,137
1,UA,WY,73,25
1,US,AK,25,0
1,US,AZ,4418,615
1,US,CA,1800,170
1,US,CO,369,45
1,US,CT,127,9
1,US,FL,3133,368
1,US,GA,500,51
1,US,HI,180,18
1,US,IA,1,0
1,US,ID,66,11
1,US,IL,612,97
1,US,IN,143,22
1,US,LA,180,24
1,US,MA,1272,170
1,US,MD,321,34
1,US,ME,29,4
1,US,MI,286,38
1,US,MN,356,43
1,US,MO,381,45
1,US,NC,7985,1129
1,US,NE,54,5
1,US,NJ,308,40
1,US,NV,574,40
1,US,NY,1373,212
1,US,OH,230,27
1,US,OR,149,9
1,US,PA,3764,666
1,US,PR,169,42
1,US,RI,95,7
1,US,SC,46,5
1,US,TN,205,12
1,US,TX,1038,132
1,US,UT,208,29
1,US,VA,1750,237
1,US,VI,69,21
1,US,WA,260,28
1,US,WI,54,8
1,VX,CA,2507,306
1,VX,FL,193,42
1,VX,IL,76,20
1,VX,MA,121,27
1,VX,NJ,138,27
1,VX,NV,337,58
1,VX,NY,426,78
1,VX,OR,30,0
1,VX,TX,406,77
1,VX,VA,225,40
1,VX,WA,192,27
1,WN,AL,397,58
1,WN,AR,210,42
1,WN,AZ,5148,1143
1,WN,CA,17023,3279
1,WN,CO,4623,1261
1,WN,CT,522,92
